timestamp,elapsed_time,linear_acc_x,linear_acc_y,linear_acc_z,angular_vel_x,angular_vel_y,angular_vel_z,orientation_x,orientation_y,orientation_z,orientation_w
312.74,26.62696409225464,-0.017063346649122492,0.6087761971576383,9.803444163733912,5.973529876177851e-05,-0.00021233561492210845,0.6238970118732058,2.949510015190647e-10,1.8043157262106646e-10,0.05120499631512254,0.99868816371897
312.75,26.636820793151855,0.003187135123663251,0.6458108170787771,9.77341761415574,-0.0001024741232886352,-3.655433270369549e-05,0.6438661609086067,3.0748343256837707e-10,1.8216305911254726e-10,0.05437555154209017,0.9985205553189647
312.76,26.64671754837036,-0.00555921857550631,0.6678319747141249,9.815093857378056,6.645993345412347e-05,-6.849157576217162e-06,0.6636077053554067,3.200579994149466e-10,1.840138988987703e-10,0.057645392719789086,0.9983371217670819
312.77,26.6566481590271,-0.015462931718962243,0.6731118886659062,9.827668329217072,0.0003170831131116121,-0.00016341984723556964,0.6839798448702498,3.3266901051382287e-10,1.859885858647026e-10,0.061014429700525084,0.998136884083701
312.78,26.66680884361267,-0.009330526700162118,0.71226774684236,9.785545658441269,3.427901224817957e-05,-0.00016065420534350084,0.7039966082460014,3.453056808269757e-10,1.8809312726785517e-10,0.06448256398943891,0.9979188338443903
312.79,26.67695951461792,0.0025180899843252414,0.7324491767856842,9.799614837286857,-5.3267680579688346e-05,-0.00026384257526019996,0.7240316193162911,3.57963376999677e-10,1.903281691703312e-10,0.06804968824199108,0.9976819332483514
312.8,26.686626434326172,0.040985429116761216,0.724093864293659,9.80305509123822,-8.067222762024283e-06,0.00028080625067108944,0.7440111875478357,3.706367826869832e-10,1.9269995599034248e-10,0.0717156857467921,0.9974251151930491
312.81,26.696805715560913,0.01279392613838397,0.7425352060812962,9.817554532482847,-0.00018766792540872055,8.128425670550926e-06,0.7638777678868777,3.8331774187492774e-10,1.952145130985723e-10,0.0754804298942639,0.9971472833553613
312.82,26.706949949264526,-0.019680119852580086,0.7903519383315128,9.783779238035626,-0.00033347171485024015,9.518404156011374e-05,0.7841759965563088,3.960018362834982e-10,1.978723506743287e-10,0.07934378363078416,0.9968473122796446
312.83,26.71669626235962,-0.004807768420865938,0.7888102206624993,9.79726543018316,-8.992886506962764e-05,-2.4825783175056908e-05,0.8040069345682941,4.086852597658716e-10,2.006777763000471e-10,0.08330559889870574,0.9965240474730792
312.84,26.72692561149597,0.013975987285757899,0.7995776958155901,9.822487690381221,-0.00031141829653483883,-0.00034210965153555305,0.8239806493407856,4.2136518701613763e-10,2.036389935635658e-10,0.08736571606236614,0.9961763055086735
312.85,26.736703157424927,-0.014936943686868697,0.8465469604843984,9.811041353658746,2.048589689065843e-05,2.158698005952572e-05,0.8436121163881519,4.3403084719239857e-10,2.0675011727370524e-10,0.09152396331975297,0.9958028741363647
312.86,26.746713161468506,-0.010544999405604029,0.8774765055529511,9.796965230951253,7.892142431476416e-05,0.0003651474745241684,0.864128343215736,4.466827655129014e-10,2.100271675963029e-10,0.09578015610061502,0.9954025124025666
312.87,26.756781578063965,-0.010237434800428066,0.8794421538372837,9.78906750995457,-0.00026112023655240423,-4.3709546173789624e-05,0.8838531560090874,4.593143157786606e-10,2.1346448878548348e-10,0.10013409645021543,0.9949739507786618
312.88,26.766817569732666,-0.03282610924131694,0.9053915539928118,9.767271974563219,0.00041691416536835703,0.00014058809619152315,0.9036812141631275,4.719221114114532e-10,2.170738518391468e-10,0.10458557239997242,0.9945158912987616
312.89,26.777093648910522,0.026293692507702762,0.9011368383173541,9.789420959175374,0.0001219200861292806,-7.452080950187035e-05,0.9238501097704038,4.845050892154293e-10,2.2084443848193905e-10,0.10913435732409328,0.994027007707264
312.9,26.786691427230835,-0.008181199668371381,0.9433612558400456,9.797744073697611,3.936471994934905e-05,8.000764436751286e-05,0.9441275790991243,4.970534812740918e-10,2.2479865434268637e-10,0.11378020928264063,0.9935059456166322
312.91,26.79677176475525,0.01399095789127823,0.9270146790061511,9.790701248073864,0.00011939882349370103,0.0006120392505610294,0.9637464932314604,5.095710269944795e-10,2.289337406219845e-10,0.11852287035168949,0.9929513226757879
312.92,26.806775093078613,0.03939368448511339,0.9892545304348298,9.85477860107863,5.9284684715430754e-05,-3.539335112504469e-05,0.9838356647498206,5.220474593789388e-10,2.332433514027878e-10,0.12336206593996986,0.9923617287496644
312.93,26.81666922569275,0.010436284657932062,0.9916346163896981,9.832315474321648,7.207890598589844e-05,0.0002476976885828699,0.9998927716995426,5.34416135100262e-10,2.3772695998313603e-10,0.1282945292828905,0.9917361109468998
